Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report
MD04970,CT Scanner,2016-02-28,9,ScanPro,Model-600,France,4293.662558742555,1.8740386580859127,2,4,1,Component recalibration after detecting overheating; functionality restored. software reset quick fix
MD00875,Infusion Pump,2023-06-09,2,RescueTech,Model-150,France,5970.685199377886,8.060525817879967,3,9,1,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch
MD01103,PET Scanner,2023-09-05,2,CardioSync,Model-100,Japan,6096.178997657795,15.233687140505449,1,3,3,software crash caused operational delay; software patch initiated. sensor replaced hardware fault
MD01087,Defibrillator,2017-12-28,8,RescueTech,Model-450,Italy,7327.312595972605,8.875251912008707,4,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault
MD02218,PET Scanner,2017-06-06,8,RescueTech,Model-450,France,4886.093492733723,8.408252346531127,3,1,1,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared
MD02470,X-Ray Machine,2015-07-28,10,CardioSync,Model-100,USA,6812.954776135197,10.894606830444909,2,0,1,voltage spike caused operational delay; inspection initiated. minor issue stable condition
MD01526,Infusion Pump,2014-04-13,11,ImagingTech,Model-650,UK,6215.336684253508,7.481187431088105,2,1,1,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared
MD02916,Defibrillator,2023-02-11,2,ScanPro,Model-400,France,1719.266760168215,4.213461189030655,2,1,1,Routine check completed; software crash observed during diagnostics. software reset system check passed
MD03720,X-Ray Machine,2022-02-25,3,UltraMed,Model-500,Italy,7795.895133865077,4.000932924552339,2,1,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue
MD02925,Defibrillator,2023-04-13,2,CardioSync,Model-450,Italy,2152.4747298135094,13.17327175111761,3,4,2,Routine check completed; sensor misalignment observed during diagnostics. component issue component review
MD03388,PET Scanner,2019-12-30,6,ImagingTech,Model-100,France,11373.18802575138,9.143138556346036,1,2,2,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning
MD05481,PET Scanner,2016-10-02,9,MedEquip,Model-250,Canada,6493.840606020618,7.3672642800643855,2,3,1,overheating caused operational delay; replacement initiated. quick fix stable condition
MD04893,X-Ray Machine,2021-08-25,4,ScanPro,Model-450,Canada,15145.508258868304,13.201244445175467,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed
MD00760,Infusion Pump,2018-08-08,7,MedEquip,Model-400,UK,3338.00879471796,8.353079442508895,5,1,3,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement
MD02822,MRI Scanner,2019-10-14,6,ScanPro,Model-250,France,14131.244163325728,2.426710568162311,5,1,2,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning
MD01974,X-Ray Machine,2016-04-12,9,ImagingTech,Model-350,UK,25219.236088495098,5.492357741116414,1,0,3,overheating caused operational delay; software patch initiated. sensor replaced critical failure
MD01251,X-Ray Machine,2015-05-26,10,ImagingTech,Model-550,Italy,2016.8437303121104,3.832560067998647,2,1,2,Routine check completed; circuit failure observed during diagnostics. driver update average severity report
MD01934,MRI Scanner,2017-08-07,8,MedEquip,Model-400,Canada,16916.293249951577,26.365675186393787,3,2,3,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash
MD03664,CT Scanner,2023-04-17,2,ImagingTech,Model-250,Japan,13689.215066756333,7.551035977269444,2,0,3,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement
MD03879,CT Scanner,2023-03-14,2,UltraMed,Model-550,UK,4766.146903213029,3.570759858786596,3,1,2,battery wear caused operational delay; system reset initiated. component issue moderate delay
MD00866,X-Ray Machine,2013-08-19,12,CardioSync,Model-350,Canada,2822.271472575234,6.331224727298017,4,1,1,software crash caused operational delay; component upgrade initiated. software reset low priority fault
MD01491,MRI Scanner,2021-12-12,4,RescueTech,Model-450,Italy,6178.945848745482,3.236047599025329,1,1,1,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared
MD00480,MRI Scanner,2014-07-02,11,CardioSync,Model-200,USA,4250.403515707106,4.719825567572136,1,1,1,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue
MD03741,Infusion Pump,2018-12-15,7,MedEquip,Model-600,UK,2187.6605253452403,13.783585900922716,1,1,2,data lag caused operational delay; replacement initiated. component issue driver update applied
MD04270,Infusion Pump,2015-06-25,10,ScanPro,Model-500,UK,3879.661386363239,7.331873519540688,1,6,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning
MD05305,Infusion Pump,2021-03-29,4,ScanPro,Model-550,Japan,10161.541698458828,7.917273300862504,5,1,2,Component replacement after detecting battery wear; functionality restored. driver update performance warning
MD04554,Defibrillator,2019-01-02,6,UltraMed,Model-600,Italy,2448.351450135515,26.686773299388207,5,3,3,battery wear caused operational delay; recalibration initiated. critical failure critical failure
MD00430,Defibrillator,2016-03-23,9,ImagingTech,Model-250,Canada,4188.039355590178,2.144952801593365,1,3,1,battery wear caused operational delay; firmware update initiated. software reset log file cleared
MD01156,Infusion Pump,2023-04-21,2,ImagingTech,Model-150,France,4419.909659088393,8.830708095265503,4,2,1,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch
MD03378,X-Ray Machine,2015-04-06,10,RescueTech,Model-300,USA,14118.49393246357,11.567332575568832,3,2,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash
MD05233,Infusion Pump,2020-01-27,5,RescueTech,Model-500,Japan,4367.170321558245,5.489516321660774,2,5,1,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault
MD01496,Infusion Pump,2023-10-15,2,UltraMed,Model-450,Canada,33114.849724783846,23.905222435527588,2,2,3,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction
MD03382,CT Scanner,2019-07-15,6,UltraMed,Model-650,Canada,1358.021833089199,4.679732829547163,3,1,1,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared
MD02276,MRI Scanner,2018-12-23,7,RescueTech,Model-150,USA,2436.5681384018267,4.505806784564164,5,2,1,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared
MD04343,X-Ray Machine,2023-05-02,2,ImagingTech,Model-650,Italy,6492.708759312389,2.4535372571874654,1,2,1,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition
MD00138,X-Ray Machine,2016-10-27,9,ImagingTech,Model-250,UK,7558.269074891674,9.319317840888406,4,1,1,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault
MD05344,PET Scanner,2015-10-14,10,RescueTech,Model-250,France,-3925.998613777928,14.81842451542197,5,4,2,Routine check completed; overheating observed during diagnostics. moderate delay average severity report
MD03351,Defibrillator,2019-05-08,6,RescueTech,Model-550,Italy,19431.51292230199,13.33482874597817,1,1,3,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault
MD05448,CT Scanner,2014-03-18,11,MedEquip,Model-500,France,4769.272971023088,4.444543189084446,1,1,1,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed
MD04171,CT Scanner,2016-03-25,9,RescueTech,Model-600,Italy,7409.761716860064,4.868275801444862,5,1,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition
MD01107,X-Ray Machine,2017-03-16,8,RescueTech,Model-100,Japan,3317.8227464097845,2.7382568909606344,1,1,1,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition
MD03601,CT Scanner,2016-02-19,9,ScanPro,Model-100,UK,8353.801795701629,15.544314489840046,2,0,2,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning
MD03042,Infusion Pump,2018-03-23,7,ImagingTech,Model-250,UK,17861.013196617612,19.357383129493453,4,1,3,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed
MD05197,PET Scanner,2016-04-24,9,UltraMed,Model-200,Japan,5652.16312194349,12.489666858814031,2,1,2,software crash caused operational delay; recalibration initiated. moderate delay average severity report
MD04276,Infusion Pump,2020-03-26,5,CardioSync,Model-400,Japan,1892.443132040808,2.891648163269434,1,3,1,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix
MD04582,PET Scanner,2014-01-20,11,ImagingTech,Model-250,UK,510.00212166954736,7.015308431713838,2,3,2,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning
MD00183,Infusion Pump,2020-01-16,5,ScanPro,Model-400,Canada,23500.02990692996,13.90981385367736,5,2,3,Component component upgrade after detecting overheating; functionality restored. data loss critical failure
MD01874,X-Ray Machine,2013-06-25,12,MedEquip,Model-550,UK,16090.559286024452,4.247012900943547,3,2,2,Component software patch after detecting overheating; functionality restored. reviewed logs component review
MD02291,PET Scanner,2022-09-13,3,CardioSync,Model-200,Italy,13461.301051583214,5.244816011342574,1,2,3,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement
MD01473,Defibrillator,2021-05-17,4,MedEquip,Model-500,UK,17732.039201073338,27.724552438348624,2,0,3,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown
MD04436,PET Scanner,2015-10-04,10,ImagingTech,Model-300,USA,20652.632777956256,9.714373158153888,5,3,3,Component replacement after detecting overheating; functionality restored. data loss system crash
MD02029,MRI Scanner,2016-05-08,9,CardioSync,Model-150,France,19527.35367964784,4.370314837145179,3,3,3,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure
MD01834,Defibrillator,2016-12-10,9,UltraMed,Model-400,USA,4245.247467883983,6.902138614232197,4,1,2,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied
MD01890,X-Ray Machine,2019-02-10,6,ScanPro,Model-200,Canada,7413.156979959484,12.23883290993226,5,4,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning
MD00766,MRI Scanner,2019-10-14,6,ImagingTech,Model-150,Canada,2733.610608245419,12.500452858050728,3,2,2,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning
MD00060,CT Scanner,2019-11-03,6,CardioSync,Model-500,Italy,8832.886301916946,15.07082958069322,2,2,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay
MD04497,Infusion Pump,2020-07-05,5,UltraMed,Model-150,USA,5441.773806805362,7.31432707815111,4,5,1,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch
MD00218,PET Scanner,2020-12-14,5,RescueTech,Model-200,UK,14486.440808659385,6.0952908137189965,4,2,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection
MD00605,X-Ray Machine,2014-08-09,11,RescueTech,Model-200,Japan,18630.973613076287,9.437645967181853,2,1,3,Routine check completed; software crash observed during diagnostics. data loss critical failure
MD03054,CT Scanner,2013-10-02,12,UltraMed,Model-200,Japan,5910.5701703758,4.624923921996813,5,3,2,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay
MD02772,MRI Scanner,2023-10-04,2,ImagingTech,Model-200,USA,9924.393157406495,13.23619850899147,1,2,3,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown
MD00245,PET Scanner,2024-01-03,1,ImagingTech,Model-500,Canada,18553.648080811523,17.214934402027207,5,5,3,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction
MD04295,CT Scanner,2017-04-03,8,CardioSync,Model-350,France,11441.436912445062,17.658762635698253,5,0,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay
MD01690,Defibrillator,2021-02-20,4,UltraMed,Model-400,USA,3834.5152259607103,2.119638238187733,2,3,1,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed
MD01338,MRI Scanner,2022-06-22,3,RescueTech,Model-250,Japan,2099.915183963173,3.1466298224970086,1,3,1,Routine check completed; software crash observed during diagnostics. quick fix quick fix
MD01833,X-Ray Machine,2021-12-29,4,CardioSync,Model-300,Italy,11706.28429749316,8.686603367872486,1,3,2,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report
MD00178,Infusion Pump,2022-09-20,3,ScanPro,Model-500,UK,3530.977390148654,5.054603271379736,2,1,1,circuit failure caused operational delay; firmware update initiated. software reset log file cleared
MD04233,X-Ray Machine,2022-12-22,3,CardioSync,Model-200,USA,9655.831262184523,4.111797169002137,3,2,2,circuit failure caused operational delay; inspection initiated. driver update moderate delay
MD00287,PET Scanner,2022-08-27,3,MedEquip,Model-150,Canada,13014.2437740747,18.46320042617841,3,1,2,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection
MD03920,Defibrillator,2023-03-13,2,MedEquip,Model-150,Japan,4975.743137172629,5.2644574592470175,5,4,1,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue
MD01400,Infusion Pump,2019-10-10,6,ImagingTech,Model-200,Canada,9745.862333542971,5.823517041383341,4,5,1,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition
MD04874,Infusion Pump,2023-09-05,2,MedEquip,Model-550,France,3400.271787018808,11.678250263374434,3,1,1,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset
MD00989,X-Ray Machine,2017-10-30,8,RescueTech,Model-300,Japan,7029.199836866744,6.475137847395411,5,2,1,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue
MD00234,Defibrillator,2015-09-30,10,ImagingTech,Model-200,Canada,4231.06330684427,4.669164075394578,2,2,1,Component software patch after detecting software crash; functionality restored. minor issue log file cleared
MD04692,PET Scanner,2015-01-04,10,MedEquip,Model-550,France,6516.829342961068,4.435253785643978,1,0,1,data lag caused operational delay; system reset initiated. minor issue system check passed
MD00009,MRI Scanner,2017-07-27,8,RescueTech,Model-500,Italy,8474.905711390164,14.769456646545242,3,4,2,Component recalibration after detecting voltage spike; functionality restored. driver update performance warning
MD01952,MRI Scanner,2023-09-27,2,MedEquip,Model-500,Italy,4275.745641351639,7.387593927441959,1,4,1,System performance degraded due to sensor misalignment; mitigation via inspection. minor issue stable condition
MD01284,Infusion Pump,2017-06-12,8,UltraMed,Model-100,France,15205.128498654318,4.584952279156318,2,3,2,Component component upgrade after detecting data lag; functionality restored. driver update driver update applied
MD00450,Infusion Pump,2017-10-24,8,MedEquip,Model-500,Italy,10288.791512084112,12.097617293020004,4,1,2,Routine check completed; abnormal sound observed during diagnostics. component issue non-critical warning
MD00212,Infusion Pump,2016-06-28,9,ImagingTech,Model-500,UK,6249.239709045754,5.646882008942401,5,3,1,Component firmware update after detecting battery wear; functionality restored. minor issue temporary glitch
MD02377,Infusion Pump,2023-12-25,2,ImagingTech,Model-300,UK,4098.605690034778,10.991715692900325,1,0,2,Routine check completed; voltage spike observed during diagnostics. component issue non-critical warning
MD01684,MRI Scanner,2021-02-13,4,UltraMed,Model-350,UK,4913.91106045171,6.908476771462912,2,2,3,abnormal sound caused operational delay; component upgrade initiated. reboot failed urgent inspection needed
MD02500,MRI Scanner,2015-11-07,10,UltraMed,Model-100,Canada,12393.124903625909,18.95456728975689,5,0,3,Component system reset after detecting software crash; functionality restored. sensor replaced critical malfunction
MD01565,CT Scanner,2015-05-26,10,ScanPro,Model-250,Italy,6751.954261724497,5.528615811708443,4,0,1,Component inspection after detecting battery wear; functionality restored. quick fix system check passed
MD00214,MRI Scanner,2022-06-12,3,ImagingTech,Model-550,Canada,11559.92419990774,13.35587294235042,2,3,2,Component replacement after detecting circuit failure; functionality restored. driver update device required inspection
MD03098,Defibrillator,2015-04-20,10,RescueTech,Model-600,Italy,14316.765439047587,19.030904422626605,1,3,3,Component firmware update after detecting data lag; functionality restored. critical failure critical failure
MD03485,PET Scanner,2014-10-02,11,ImagingTech,Model-100,USA,7010.051719549312,8.160569221013757,1,1,2,System performance degraded due to data lag; mitigation via inspection. component issue moderate delay
MD05346,Infusion Pump,2017-01-05,8,UltraMed,Model-650,Canada,3511.8436836145897,2.7057317077424674,1,1,2,Component replacement after detecting circuit failure; functionality restored. moderate delay non-critical warning
MD00106,Infusion Pump,2017-04-05,8,CardioSync,Model-200,France,4340.952242791129,5.264835076525357,1,1,1,Component firmware update after detecting battery wear; functionality restored. software reset minor issue
MD00651,MRI Scanner,2017-06-26,8,CardioSync,Model-600,Japan,2994.069640722346,2.852084980839906,5,1,1,Component software patch after detecting battery wear; functionality restored. software reset quick fix
MD02684,PET Scanner,2016-02-02,9,CardioSync,Model-250,UK,16712.04742664526,23.25761335803812,3,0,3,Routine check completed; data lag observed during diagnostics. sensor replaced urgent inspection needed
MD02193,Infusion Pump,2022-09-13,3,MedEquip,Model-350,UK,11596.887820679023,6.279325089369686,1,1,2,Component component upgrade after detecting software crash; functionality restored. moderate delay average severity report
MD05383,X-Ray Machine,2022-09-21,3,ImagingTech,Model-450,Japan,1580.3376676156222,16.414614985538982,5,1,2,System performance degraded due to circuit failure; mitigation via component upgrade. reviewed logs device required inspection
MD05499,Infusion Pump,2013-11-29,12,ScanPro,Model-650,Italy,3415.3613101047627,1.9234376695329456,5,4,1,System performance degraded due to software crash; mitigation via inspection. quick fix routine reset
MD03928,Infusion Pump,2018-06-11,7,RescueTech,Model-100,Canada,11659.20673220599,20.72507994362292,2,3,3,battery wear caused operational delay; recalibration initiated. data loss emergency shutdown
MD01342,Infusion Pump,2022-10-04,3,ImagingTech,Model-350,Japan,-243.76297292368864,16.06649097497886,5,4,2,circuit failure caused operational delay; firmware update initiated. driver update performance warning
MD00109,Infusion Pump,2019-02-23,6,ScanPro,Model-500,UK,8094.546477097295,6.552115541541653,1,2,2,abnormal sound caused operational delay; software patch initiated. driver update non-critical warning
MD02055,Infusion Pump,2018-09-25,7,CardioSync,Model-100,USA,19552.536914497337,11.234587304692488,5,0,3,Component system reset after detecting circuit failure; functionality restored. data loss urgent inspection needed
MD00260,PET Scanner,2020-09-08,5,RescueTech,Model-550,Canada,9807.609462362172,7.223015938170488,4,2,2,Routine check completed; software crash observed during diagnostics. component issue component review
MD03467,MRI Scanner,2016-06-11,9,RescueTech,Model-450,UK,6393.709889870459,19.07538409898477,5,2,3,Routine check completed; data lag observed during diagnostics. critical failure hardware fault
MD02710,X-Ray Machine,2018-10-12,7,ImagingTech,Model-200,Canada,1571.5760640038052,2.5651799012878875,5,4,1,Component recalibration after detecting sensor misalignment; functionality restored. minor issue temporary glitch
MD02236,CT Scanner,2021-07-28,4,ScanPro,Model-650,Canada,5046.05352990958,10.548120891409882,4,5,1,data lag caused operational delay; component upgrade initiated. log cleaned low priority fault
MD02433,X-Ray Machine,2014-08-27,11,RescueTech,Model-450,Canada,10159.538455633296,21.72338367260954,3,1,3,voltage spike caused operational delay; replacement initiated. critical failure sensor replacement
MD02458,Defibrillator,2013-10-30,12,CardioSync,Model-100,USA,22230.90963170836,13.903157218404775,4,4,3,System performance degraded due to sensor misalignment; mitigation via inspection. data loss emergency shutdown
MD02048,Infusion Pump,2013-08-18,12,CardioSync,Model-600,Italy,7460.598850150111,5.495317101918271,4,2,1,System performance degraded due to battery wear; mitigation via software patch. software reset log file cleared
MD04983,Infusion Pump,2017-02-04,8,ScanPro,Model-400,France,1652.6929982519432,2.2932368708358317,5,0,1,data lag caused operational delay; replacement initiated. software reset quick fix
MD03100,PET Scanner,2020-09-02,5,MedEquip,Model-150,USA,9144.418589782515,15.349647514515652,5,0,2,System performance degraded due to voltage spike; mitigation via recalibration. component issue driver update applied
MD01800,PET Scanner,2018-10-07,7,CardioSync,Model-600,Japan,17354.821775367993,3.5495828768042585,2,6,3,Component software patch after detecting software crash; functionality restored. critical failure high priority failure
MD01836,Defibrillator,2013-06-04,12,RescueTech,Model-650,Canada,6945.809699228764,9.314825797529418,4,2,1,System performance degraded due to sensor misalignment; mitigation via system reset. log cleaned minor issue
MD01260,X-Ray Machine,2014-08-04,11,UltraMed,Model-250,France,3128.6371981606044,15.58501856459227,5,2,2,Routine check completed; overheating observed during diagnostics. reviewed logs moderate delay
MD02488,CT Scanner,2021-05-05,4,MedEquip,Model-250,France,5350.112337348543,3.5713069965567183,4,2,2,Routine check completed; voltage spike observed during diagnostics. reviewed logs non-critical warning
MD03540,MRI Scanner,2021-02-10,4,ImagingTech,Model-150,USA,3082.580531405835,4.720296809711623,2,3,1,System performance degraded due to battery wear; mitigation via software patch. quick fix low priority fault
MD03429,PET Scanner,2021-01-12,4,ImagingTech,Model-200,France,4445.976677822229,4.782550743289771,4,3,1,software crash caused operational delay; replacement initiated. minor issue quick fix
MD01611,PET Scanner,2023-09-13,2,MedEquip,Model-150,UK,10565.808211099746,27.04509600454824,1,0,3,System performance degraded due to voltage spike; mitigation via firmware update. sensor replaced emergency shutdown
MD04802,Defibrillator,2014-02-28,11,ImagingTech,Model-400,Canada,3230.2145381564887,3.992688530646475,1,1,1,Routine check completed; sensor misalignment observed during diagnostics. software reset log file cleared
MD01682,X-Ray Machine,2021-09-18,4,ImagingTech,Model-650,UK,13083.87384058913,7.086621155456196,3,1,2,Component inspection after detecting sensor misalignment; functionality restored. reviewed logs performance warning
MD03410,Defibrillator,2024-01-03,1,RescueTech,Model-350,Japan,5884.844797672917,2.715759668368817,5,3,1,Component firmware update after detecting voltage spike; functionality restored. minor issue minor issue
MD02759,MRI Scanner,2014-02-23,11,MedEquip,Model-650,USA,15948.514921674869,3.320573781250654,3,0,2,Component component upgrade after detecting overheating; functionality restored. component issue driver update applied
MD04596,Defibrillator,2014-03-31,11,CardioSync,Model-450,UK,759.5423287861223,9.186720141132112,2,5,1,data lag caused operational delay; replacement initiated. log cleaned minor issue
MD02786,PET Scanner,2020-09-09,5,CardioSync,Model-550,Japan,4303.483762714389,3.573248024287921,3,0,1,System performance degraded due to battery wear; mitigation via replacement. software reset low priority fault
MD02353,MRI Scanner,2016-08-08,9,MedEquip,Model-100,USA,21548.061983419528,32.9680819439118,1,5,3,Component system reset after detecting abnormal sound; functionality restored. critical failure system crash
MD05292,X-Ray Machine,2023-01-03,2,RescueTech,Model-300,Canada,9783.70868353346,8.248375103137077,3,2,1,voltage spike caused operational delay; system reset initiated. log cleaned low priority fault
MD05098,PET Scanner,2023-03-18,2,ImagingTech,Model-500,France,3685.378934936874,1.993392107959134,1,2,1,System performance degraded due to overheating; mitigation via firmware update. minor issue routine reset
MD02641,Infusion Pump,2021-02-17,4,ScanPro,Model-300,USA,8369.203846319542,8.179712661982151,1,3,2,Routine check completed; software crash observed during diagnostics. moderate delay non-critical warning
MD04826,Infusion Pump,2020-09-25,5,MedEquip,Model-200,UK,7744.921470955479,2.032542856794928,3,1,2,Component replacement after detecting data lag; functionality restored. reviewed logs device required inspection
MD01960,CT Scanner,2023-07-14,2,MedEquip,Model-400,UK,2936.952114074145,1.1653936036826642,4,4,1,Routine check completed; abnormal sound observed during diagnostics. quick fix minor issue
MD04998,Infusion Pump,2016-12-19,9,MedEquip,Model-600,Japan,23983.917988809862,5.564217423800486,5,4,3,abnormal sound caused operational delay; system reset initiated. sensor replaced hardware fault
MD04500,PET Scanner,2019-01-08,6,UltraMed,Model-250,Canada,-724.5416720088288,17.350515158638895,2,2,3,Routine check completed; abnormal sound observed during diagnostics. sensor replaced critical malfunction
MD04895,X-Ray Machine,2014-09-24,11,ImagingTech,Model-250,Canada,5196.845085311753,8.13098369391635,4,2,1,overheating caused operational delay; component upgrade initiated. software reset log file cleared
MD04659,Infusion Pump,2018-03-14,7,CardioSync,Model-400,Japan,-2339.4585384064662,11.080409562675856,5,1,2,System performance degraded due to circuit failure; mitigation via firmware update. reviewed logs driver update applied
MD02576,MRI Scanner,2015-03-12,10,MedEquip,Model-650,France,6686.596541982885,5.130837238750582,1,2,2,Routine check completed; battery wear observed during diagnostics. driver update driver update applied
MD04707,Defibrillator,2014-08-26,11,MedEquip,Model-250,UK,4813.957271897712,5.131077728388127,3,0,3,abnormal sound caused operational delay; firmware update initiated. critical failure critical failure
MD01060,X-Ray Machine,2014-10-14,11,ImagingTech,Model-500,Japan,6798.974129982608,31.061853388103295,2,1,3,Routine check completed; software crash observed during diagnostics. sensor replaced sensor replacement
MD02408,X-Ray Machine,2014-01-02,11,ImagingTech,Model-500,Canada,5504.306920574063,12.789090399989131,1,0,2,Routine check completed; data lag observed during diagnostics. component issue average severity report
MD01168,Defibrillator,2013-12-09,12,MedEquip,Model-150,Italy,9471.59875098992,5.140178494822023,3,2,3,voltage spike caused operational delay; inspection initiated. critical failure hardware fault
MD04139,MRI Scanner,2022-12-12,3,ScanPro,Model-350,Canada,19590.879928228074,17.693532541505714,5,1,3,battery wear caused operational delay; system reset initiated. reboot failed critical failure
